time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
70,0.35452463,0.25293192,0.72427826,0.09721964,0.2042599,0.82298137,0.15116279,0.17948718,0.49162868,0.37188379,0.55805067,0.47836441,0.51456281,0.41583983,0.46591373,0.40822701,0.58099734,0.56983332,0.34705424,0.20146056,0.56191705,0.2272079,0.37476999,0.19531269,0.15470861,0.63747137,0.57765629,0.31984986,-1,-1,-1,1,0.7587837393212687,"[0.33, 0.40)","[0.24, 0.28)","[0.70, 0.80)","[0.05, 0.11)","[0.15, 0.22)","[0.82, 0.88)","[0.10, 0.20)","[0.10, 0.20)","[0.67, 0.80)"
77,0.35962093,0.16406645,0.80967603,0.09272666,0.1737297,0.81677019,0.22093023,0.23076923,0.51785762,0.39148705,0.57772866,0.49243136,0.52334319,0.43330432,0.47688391,0.42678908,0.60265606,0.58546279,0.36002311,0.20947417,0.58035086,0.2372931,0.39212044,0.18887817,0.18059906,0.64485363,0.6016101,0.35713722,-1,-1,-1,1,0.8332799743744035,"[0.33, 0.40)","[0.14, 0.19)","[0.80, 0.90)","[0.05, 0.11)","[0.15, 0.22)","[0.82, 0.88)","[0.20, 0.30)","[0.20, 0.30)","[0.80, 0.92)"
84,0.3063473,0.18950518,0.66130065,0.1350396,0.17841972,0.80124224,0.25581395,0.23076923,0.53618022,0.41000744,0.57949499,0.49494412,0.53472296,0.4443142,0.47578709,0.44092855,0.59901501,0.59643707,0.3766845,0.2018693,0.61001031,0.22405171,0.39945917,0.18366522,0.20792261,0.65657752,0.61205364,0.39610824,-1,-1,-1,1,0.698131677940101,"[0.27, 0.33)","[0.14, 0.19)","[0.60, 0.70)","[0.11, 0.16)","[0.15, 0.22)","[0.75, 0.82)","[0.20, 0.30)","[0.20, 0.30)","[0.67, 0.80)"
91,0.24384071,0.1671352,0.53162979,0.12812915,0.12853527,0.78881988,0.23255814,0.24358974,0.55095666,0.42050838,0.58077027,0.49946197,0.54976624,0.45243399,0.47509204,0.44561085,0.59941802,0.59980585,0.39613801,0.19724336,0.63749177,0.2180598,0.41163078,0.17583873,0.25107411,0.67070641,0.61561378,0.4429853,-1,-1,-1,1,0.5617549539871807,"[0.20, 0.27)","[0.14, 0.19)","[0.50, 0.60)","[0.11, 0.16)","[0.07, 0.15)","[0.75, 0.82)","[0.20, 0.30)","[0.20, 0.30)","[0.55, 0.67)"
98,0.17671221,0.14055088,0.4086573,0.07845464,0.13155315,0.7826087,0.22093023,0.17948718,0.56821664,0.42468497,0.59168607,0.51348727,0.56090511,0.45351242,0.48926463,0.45202324,0.60529279,0.60914435,0.41698918,0.20242566,0.66451072,0.22655055,0.43317388,0.16655852,0.27840156,0.68966585,0.62556746,0.49426796,-1,-1,-1,1,0.43641969554059096,"[0.13, 0.20)","[0.09, 0.14)","[0.40, 0.50)","[0.05, 0.11)","[0.07, 0.15)","[0.75, 0.82)","[0.20, 0.30)","[0.10, 0.20)","[0.42, 0.55)"
105,0.17142094,0.12551655,0.39110118,0.07567476,0.13650077,0.76397516,0.1627907,0.12820513,0.58668968,0.44146921,0.61538139,0.54825166,0.58054771,0.46269719,0.51717445,0.46849923,0.58824705,0.59688874,0.43488841,0.21947181,0.68902888,0.2529802,0.46168151,0.16510767,0.28321216,0.68956277,0.63637062,0.53347336,-1,-1,-1,1,0.421092938089732,"[0.13, 0.20)","[0.09, 0.14)","[0.30, 0.40)","[0.05, 0.11)","[0.07, 0.15)","[0.75, 0.82)","[0.10, 0.20)","[0.10, 0.20)","[0.30, 0.42)"
112,0.14992762,0.1160291,0.35990297,0.04888809,0.15146895,0.7173913,0.1627907,0.07692308,0.5714636,0.46637554,0.6081508,0.55285108,0.57831531,0.46580374,0.51342826,0.47585775,0.5802341,0.59486028,0.45039339,0.21689544,0.69745355,0.25126161,0.46698631,0.17197409,0.34008006,0.67319781,0.61516593,0.55196591,-1,-1,-1,1,0.39352641076905054,"[0.13, 0.20)","[0.09, 0.14)","[0.30, 0.40)","[0.00, 0.05)","[0.15, 0.22)","[0.69, 0.75)","[0.10, 0.20)","[0.00, 0.10)","[0.30, 0.42)"
119,0.16910778,0.13780289,0.33623863,0.1170087,0.10400957,0.67701863,0.09302326,0.06410256,0.55318516,0.49159499,0.60317385,0.55937944,0.57980207,0.47177773,0.51405819,0.48363518,0.57035645,0.59193067,0.45371422,0.22052088,0.69846518,0.25873346,0.47117396,0.17802045,0.39575602,0.64863075,0.59257259,0.56509733,-1,-1,-1,1,0.3708981569535656,"[0.13, 0.20)","[0.09, 0.14)","[0.30, 0.40)","[0.11, 0.16)","[0.07, 0.15)","[0.63, 0.69)","[0.00, 0.10)","[0.00, 0.10)","[0.30, 0.42)"
126,0.09485539,0.17810767,0.177051,0.07703118,0.08875109,0.6552795,0.05813953,0.03846154,0.53667291,0.49851266,0.59270609,0.55746885,0.57214786,0.46994222,0.51231796,0.47914224,0.54603143,0.57425252,0.45497905,0.21943703,0.69508047,0.25935333,0.4700738,0.18107382,0.39956489,0.6227044,0.5825984,0.54910507,-1,-1,-1,1,0.21250321237426154,"[0.07, 0.13)","[0.14, 0.19)","[0.10, 0.20)","[0.05, 0.11)","[0.07, 0.15)","[0.63, 0.69)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.30)"
133,0.05674112,0.14200184,0.10724297,0.07295386,0.02966654,0.63043478,0.09302326,0.08974359,0.4974603,0.48289158,0.56461312,0.53680404,0.54150425,0.45074549,0.49120885,0.44755247,0.51812516,0.55290187,0.4312178,0.22141277,0.65093743,0.26268674,0.45151019,0.18532967,0.39508422,0.60199155,0.5543493,0.51229329,-1,-1,-1,1,0.13305421413428475,"[0.00, 0.07)","[0.09, 0.14)","[0.10, 0.20)","[0.05, 0.11)","[0.00, 0.07)","[0.57, 0.63)","[0.00, 0.10)","[0.00, 0.10)","[0.05, 0.18)"
