Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.61209935,0.44748708,0.58348618,0.47935926,0.54372282,0.66483516,0.24000000,0.13725490,0.27687261,0.22400703,0.19518565,0.15931883,0.27324552,0.22619662,0.18577996,0.27771373,0.42700310,0.44303988,0.44895313,0.41023274,0.57423800,0.53403572,0.48294256,0.47482860,0.59016389,0.48060917,0.36832494,0.26059244,-1,1,-1,-1
0.46649056,0.36188492,0.47751473,0.33778663,0.41355218,0.63736264,0.30000000,0.13725490,0.26429884,0.21235925,0.16761890,0.13339455,0.24669931,0.21808245,0.16499631,0.26801368,0.41402552,0.44305645,0.44468015,0.41293081,0.57480073,0.53855027,0.48381519,0.47125250,0.58397852,0.46603473,0.34540394,0.23786653,-1,1,-1,-1
0.20542682,0.08078291,0.30059969,0.20150383,0.04977327,0.62087912,0.30000000,0.21568627,0.26370122,0.20547071,0.17057483,0.13654447,0.23186027,0.21545809,0.17199601,0.27196272,0.42353307,0.45131676,0.44061398,0.41301829,0.57682458,0.54071555,0.48123846,0.47538280,0.59345992,0.44366641,0.33464964,0.23170407,-1,1,-1,-1
0.19481831,0.08024668,0.31215823,0.18315440,0.04456499,0.59890110,0.30000000,0.21568627,0.27924114,0.20510968,0.18469295,0.15112182,0.25026369,0.23082010,0.20175847,0.30038963,0.44376993,0.46269362,0.43350951,0.40440605,0.57375474,0.52612500,0.46911107,0.47520611,0.60112171,0.42484096,0.34052444,0.22936354,-1,1,-1,-1
0.24306748,0.15673294,0.37161510,0.23067079,0.04627067,0.58791209,0.28000000,0.17647059,0.28208669,0.20277192,0.18993436,0.15298447,0.24939387,0.23532672,0.21386316,0.31305383,0.46328231,0.47404307,0.42574748,0.39616806,0.56960832,0.51433076,0.45867279,0.47177925,0.60440482,0.40989009,0.34315554,0.22614417,-1,1,-1,-1
0.30249278,0.15138855,0.37253820,0.27991407,0.14838156,0.56593407,0.20000000,0.17647059,0.28481253,0.18724600,0.18729623,0.14965280,0.25234622,0.22676728,0.21419405,0.32007149,0.46813414,0.48002897,0.42277797,0.38459609,0.56227773,0.50369547,0.44779703,0.47069139,0.61076964,0.40454837,0.34344380,0.23307053,-1,1,-1,-1
0.35557818,0.14396407,0.34723698,0.32990194,0.25503724,0.52197802,0.14000000,0.13725490,0.29706605,0.21776243,0.20008385,0.16792031,0.27545456,0.24704847,0.22963681,0.32191803,0.47742875,0.49463921,0.42173101,0.39575610,0.56738364,0.51826980,0.45882161,0.46457416,0.60253564,0.39654079,0.36005089,0.23962402,-1,1,-1,-1
0.33678596,0.18472852,0.31185633,0.31987067,0.26343840,0.49450549,0.04000000,0.03921569,0.30925675,0.23322381,0.21253372,0.19274969,0.30255939,0.27290951,0.25866526,0.35530069,0.48249365,0.48719570,0.42398112,0.41154403,0.57144264,0.54033148,0.47238344,0.46615230,0.59807897,0.38678223,0.37244587,0.24105318,-1,1,-1,-1
0.32287722,0.15630093,0.25661999,0.30356163,0.28602394,0.49450549,0.04000000,0.01960784,0.30040174,0.24175765,0.21328975,0.20418525,0.29767486,0.27472696,0.25769945,0.35227839,0.46921403,0.46745053,0.43024174,0.40726648,0.57852404,0.53218496,0.47386160,0.46832027,0.61955800,0.35923631,0.35780076,0.22782594,-1,1,-1,-1
0.38693321,0.11123219,0.28776273,0.37578856,0.31567262,0.49450549,0.02000000,0.01960784,0.29380290,0.25124834,0.21543426,0.21607692,0.29921983,0.27918723,0.25926220,0.35352067,0.45451247,0.45264732,0.43424526,0.40441510,0.58369910,0.51913278,0.47111376,0.47213370,0.62736757,0.34024629,0.35597568,0.21528847,-1,1,-1,-1
0.31429153,0.15348450,0.20654824,0.28239015,0.35681082,0.48351648,0.06000000,0.05882353,0.30634866,0.25805161,0.22085316,0.22361982,0.31334832,0.28157702,0.26017658,0.37093355,0.45135203,0.45667788,0.44152284,0.41133924,0.59216692,0.52478232,0.47968077,0.47744291,0.63088500,0.36046461,0.37918605,0.24716577,-1,1,-1,-1
0.31058977,0.20213728,0.28689919,0.26633974,0.29825451,0.46153846,0.08000000,0.09803922,0.31476495,0.26813377,0.22912564,0.24596205,0.33408087,0.29497054,0.28361928,0.40010157,0.44405031,0.45249261,0.45751776,0.43605131,0.60591807,0.54564378,0.50182363,0.48991536,0.63979118,0.35559498,0.39388376,0.25075693,-1,1,-1,-1
0.30694450,0.16969585,0.28347956,0.29470189,0.23281234,0.43956044,0.08000000,0.11764706,0.31813751,0.29137536,0.24120860,0.26737429,0.34725540,0.31502577,0.29741534,0.42884893,0.42814378,0.44245486,0.45971509,0.46073624,0.61493057,0.57195874,0.52419345,0.48580087,0.64756947,0.32843421,0.41171856,0.24154483,-1,1,-1,-1
0.22759725,0.12356994,0.16241158,0.16894507,0.26517066,0.35714286,0.08000000,0.05882353,0.50882329,0.55769497,0.50756725,0.53862459,0.49668391,0.56604684,0.42837215,0.57092956,0.63369952,0.63279565,0.48533091,0.46252595,0.62690958,0.65119183,0.54435396,0.49436896,0.63601679,0.38368011,0.70897040,0.51837836,-1,1,-1,-1
0.21751074,0.10384220,0.16073691,0.14961423,0.26196316,0.35164835,0.08000000,0.07843137,0.46755261,0.48143151,0.46369006,0.48976545,0.45631269,0.48030524,0.38610072,0.51948829,0.61382151,0.60588737,0.47723314,0.43622343,0.60663923,0.62881903,0.52783337,0.47413144,0.63093173,0.33934391,0.65900287,0.43757150,-1,1,-1,-1
0.17067440,0.07897205,0.03387573,0.14505401,0.26343157,0.35164835,0.06000000,0.09803922,0.45970951,0.45965707,0.45044054,0.47937464,0.44097322,0.45938067,0.39254770,0.52110743,0.61225122,0.60209033,0.47227686,0.44746320,0.60566227,0.63168001,0.53283513,0.45981492,0.62319099,0.28242018,0.63732269,0.38423137,-1,1,-1,-1
0.16613459,0.04700229,0.02337578,0.12245578,0.27669340,0.35714286,0.04000000,0.07843137,0.48774864,0.49621620,0.47951524,0.51926774,0.49254093,0.49340118,0.45338268,0.57353372,0.62412201,0.61862953,0.47446571,0.44805525,0.60696086,0.62723766,0.53330932,0.46210648,0.60561488,0.26845938,0.69025488,0.40047304,-1,1,-1,-1
0.13833503,0.02574937,0.03239560,0.07066049,0.27126753,0.35714286,0.04000000,0.05882353,0.51964492,0.51621395,0.50591754,0.53666120,0.51595113,0.51524514,0.48855689,0.60858232,0.64573700,0.64211983,0.48575493,0.46911976,0.62325225,0.64465300,0.55345687,0.47392791,0.59713292,0.25996633,0.70805992,0.41629818,-1,1,-1,-1
0.18229214,0.05955692,0.04122064,0.09761933,0.34554274,0.35714286,0.02000000,0.03921569,0.43888460,0.50423167,0.42488667,0.45897409,0.42922230,0.49612260,0.41330188,0.54368546,0.58589100,0.57780064,0.47005023,0.47185945,0.59404605,0.63759180,0.53923305,0.46722466,0.56862999,0.23745259,0.64594919,0.30888316,-1,1,-1,-1
0.31283159,0.15755963,0.03989312,0.27790689,0.37141338,0.35164835,0.02000000,0.01960784,0.44320741,0.49060075,0.42169217,0.44133767,0.43418056,0.47185550,0.41722723,0.54090096,0.58329325,0.58255149,0.48013096,0.51992108,0.60688933,0.67188909,0.57585971,0.46909871,0.59621143,0.22461408,0.63914531,0.28721378,-1,1,-1,-1
0.59537815,0.29587821,0.15411469,0.61629145,0.44071873,0.33516484,0.04000000,0.03921569,0.45283718,0.49012119,0.44000575,0.44397351,0.45362586,0.48675967,0.44677126,0.56304532,0.59433002,0.59269678,0.46963941,0.52478595,0.60009625,0.68385137,0.57282480,0.47373319,0.60459008,0.25668554,0.64243735,0.31047096,-1,1,-1,-1
0.80587113,0.38628260,0.18085795,0.73079476,0.73830619,0.31868132,0.06000000,0.05882353,0.46006935,0.48194153,0.42838207,0.41124190,0.44458065,0.47309098,0.45615550,0.55462177,0.61147286,0.60365056,0.44765280,0.51711450,0.58749431,0.67223815,0.55518509,0.46719055,0.58533056,0.26377381,0.63789756,0.30330142,-1,1,-1,-1
0.82031825,0.57757850,0.18786567,0.77170238,0.70757869,0.29670330,0.08000000,0.05882353,0.45337820,0.47193345,0.42791523,0.39809824,0.44028355,0.46890534,0.45672020,0.52447129,0.62040000,0.61121644,0.44691079,0.48869352,0.57203487,0.65283261,0.53567639,0.47207427,0.57034558,0.31992209,0.62690583,0.31428477,-1,1,-1,-1
0.87381203,0.58363279,0.23452878,0.86238432,0.65416303,0.27472527,0.08000000,0.07843137,0.38368880,0.44136461,0.37984343,0.34417128,0.36182756,0.43383405,0.39822460,0.47809993,0.58314816,0.58938315,0.43960231,0.47673742,0.56682796,0.63263983,0.52346440,0.46870589,0.55213352,0.35424917,0.57263660,0.29328337,-1,1,-1,-1
0.81998100,0.55208187,0.25619589,0.81358103,0.57726310,0.25274725,0.08000000,0.07843137,0.34497415,0.39370957,0.33869711,0.30277071,0.33508379,0.38450838,0.36119756,0.44360223,0.55421277,0.56714640,0.42147675,0.44106862,0.54608060,0.58527685,0.48404456,0.46371722,0.54097364,0.39633223,0.52258819,0.27187643,-1,1,-1,-1
0.71039644,0.43756838,0.25662945,0.69708375,0.49270345,0.23076923,0.08000000,0.03921569,0.34485165,0.40406478,0.34507570,0.29892690,0.35463253,0.38443084,0.36569535,0.44952059,0.55599444,0.57692173,0.41075523,0.44044936,0.53911343,0.58461153,0.47954361,0.45751039,0.52930496,0.41266845,0.52024549,0.27574335,-1,1,-1,-1
0.46991891,0.36707060,0.15762558,0.43715866,0.38111756,0.20879121,0.04000000,0.01960784,0.33397535,0.41153179,0.35591868,0.30534627,0.35057803,0.40006265,0.36775507,0.45791431,0.55524155,0.55865069,0.41195900,0.42020152,0.54661878,0.58026177,0.47954448,0.44545133,0.52503107,0.42958242,0.50152903,0.27757632,-1,1,-1,-1
0.29254834,0.19320962,0.18474948,0.32521567,0.12255824,0.19780220,0.02000000,0.01960784,0.32839600,0.40476921,0.35865369,0.31623272,0.35078543,0.39865406,0.35896073,0.45166011,0.53299006,0.54991112,0.41514925,0.40468627,0.54143639,0.56774714,0.46367206,0.45777262,0.53674183,0.42630516,0.51136389,0.28510531,-1,1,-1,-1
0.41683714,0.25366451,0.24802605,0.45533978,0.19283668,0.18681319,0.02000000,0.01960784,0.34495964,0.41254788,0.36199414,0.31369615,0.36012062,0.41347792,0.35414295,0.48538747,0.53033509,0.55007694,0.43520955,0.42099625,0.55764960,0.58325726,0.48447437,0.46973370,0.52064382,0.42315355,0.52957080,0.27006698,-1,1,-1,-1
0.45329502,0.22755250,0.23820506,0.48556571,0.27715920,0.18681319,0.04000000,0.01960784,0.38136536,0.45451982,0.39504649,0.34223869,0.40861561,0.44342381,0.38324776,0.54950809,0.53988271,0.56015133,0.44368243,0.41475188,0.56638683,0.57120673,0.48016111,0.48316232,0.52191471,0.40651489,0.55756747,0.27046382,-1,1,-1,-1
0.47620720,0.26730515,0.23197703,0.49793247,0.32779872,0.21062802,0.12668600,0.08498627,0.42863611,0.48538883,0.44599000,0.39228831,0.46734405,0.46963389,0.43432461,0.59122212,0.55663768,0.57267502,0.45721789,0.42153421,0.58095164,0.57951560,0.49105824,0.49633523,0.51054832,0.39944623,0.58392850,0.26924053,-1,1,-1,-1
0.43974196,0.26603851,0.25267375,0.44063203,0.33079793,0.22711154,0.15337200,0.14380980,0.46012137,0.53977948,0.50141575,0.44559176,0.50791203,0.51663007,0.47694586,0.63446829,0.57851131,0.59219220,0.47117139,0.44466850,0.60686190,0.61549611,0.51813917,0.51400104,0.51498725,0.37213078,0.62505317,0.27524662,-1,1,-1,-1
0.43618804,0.29433616,0.37867421,0.37609761,0.30816733,0.23260604,0.19337200,0.15686275,0.46506219,0.55012283,0.50219995,0.44545628,0.50406559,0.54619857,0.47282805,0.65928881,0.57670692,0.59090078,0.46694267,0.44133801,0.60561225,0.61850770,0.51653810,0.50957805,0.52463056,0.37055926,0.63650325,0.28851143,-1,1,-1,-1
0.44097571,0.20255735,0.44423872,0.36856259,0.22943022,0.23260604,0.21337200,0.15686275,0.46035441,0.55127938,0.48407864,0.43182845,0.50067831,0.55230150,0.46476800,0.66038674,0.56982764,0.59747503,0.46197179,0.44011065,0.59762188,0.61612201,0.50744858,0.51455557,0.52509261,0.35388026,0.64011315,0.28457448,-1,1,-1,-1
0.32267124,0.17838354,0.40139301,0.24315233,0.15946075,0.23260604,0.19337200,0.17647059,0.45422657,0.55319939,0.46443172,0.41405028,0.48883965,0.54667692,0.44584384,0.63481206,0.57066908,0.59407766,0.46348397,0.45097990,0.60938318,0.63232280,0.52843161,0.49805645,0.50003338,0.35758527,0.61669675,0.26431142,-1,1,-1,-1
