time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
70,0.08407183,0.09272556,0.06683021,0.12122816,0.08177804,0.55102041,0.04761905,0.02325581,0.20488738,0.32837414,0.24958939,0.36390811,0.30235761,0.47355138,0.29856575,0.38153753,0.42588167,0.46848224,0.53316639,0.60024836,0.51990114,0.66718509,0.64103267,0.46573738,0.55385401,0.4930572,0.45178883,0.64820192,-1,-1,-1,-1,0.1607799476672116,"[0.06, 0.09)","[0.07, 0.11)","[0.07, 0.08)","[0.09, 0.14)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.14, 0.20)"
77,0.07109874,0.08023452,0.06640486,0.0895774,0.08999608,0.55102041,0.04761905,0.04651163,0.22688025,0.32528252,0.25479628,0.37211887,0.31822163,0.47610795,0.31134539,0.39820333,0.42906459,0.46691312,0.54350369,0.61499292,0.51847827,0.67929556,0.64234498,0.49719649,0.55219558,0.49216193,0.43346018,0.6431305,-1,-1,-1,-1,0.14329344171226402,"[0.06, 0.09)","[0.07, 0.11)","[0.07, 0.08)","[0.05, 0.09)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
84,0.04647977,0.04316691,0.05790496,0.04639426,0.05696762,0.54761905,0.07142857,0.06976744,0.22066876,0.31407001,0.24884605,0.36238429,0.3072908,0.46864455,0.29318727,0.37785175,0.41658427,0.46019101,0.53981432,0.61731607,0.51683709,0.67730438,0.62277896,0.53852341,0.5523078,0.47435721,0.42014471,0.59949453,-1,-1,-1,-1,0.09354529107343458,"[0.03, 0.06)","[0.04, 0.07)","[0.05, 0.07)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
91,0.0516288,0.04201911,0.06228212,0.05337191,0.06100098,0.54761905,0.0952381,0.06976744,0.23850346,0.33000713,0.25991215,0.3744382,0.32168694,0.48839308,0.31686395,0.40818605,0.42450266,0.46317173,0.55415548,0.63097898,0.52380232,0.69597056,0.63519429,0.56203959,0.54420985,0.46796756,0.42524973,0.61218578,-1,-1,-1,-1,0.1022190921976071,"[0.03, 0.06)","[0.04, 0.07)","[0.05, 0.07)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
98,0.04965556,0.02460286,0.05974425,0.05484391,0.05421472,0.54421769,0.11904762,0.04651163,0.24856732,0.33365977,0.2630136,0.37469167,0.33190345,0.49774491,0.32107666,0.42369688,0.44034,0.46237146,0.54840228,0.63930176,0.5185936,0.69947595,0.63295985,0.57265572,0.53396262,0.4567717,0.4324293,0.60417563,-1,-1,-1,-1,0.09755237432696859,"[0.03, 0.06)","[0.00, 0.04)","[0.05, 0.07)","[0.05, 0.09)","[0.03, 0.07)","[0.48, 0.57)","[0.10, 0.20)","[0.00, 0.10)","[0.09, 0.14)"
105,0.03538706,0.00987406,0.05142517,0.03387325,0.05061693,0.54081633,0.0952381,0.06976744,0.24875194,0.35733148,0.26270576,0.37353117,0.33566437,0.51034773,0.31223243,0.41799363,0.450406,0.46347446,0.5188943,0.63096354,0.49594994,0.69321705,0.61122547,0.55895192,0.53234708,0.4700198,0.42298473,0.59664712,-1,-1,-1,-1,0.07971209931821079,"[0.03, 0.06)","[0.00, 0.04)","[0.05, 0.07)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
112,0.02902256,0.01597209,0.03797052,0.03907014,0.05248113,0.53401361,0.07142857,0.04651163,0.23843166,0.3830482,0.24791185,0.3554357,0.32070317,0.52632998,0.29352277,0.41829073,0.45539852,0.46694827,0.51001154,0.62039371,0.48629084,0.68278278,0.60089525,0.54867891,0.5184795,0.46746678,0.43548404,0.57942353,-1,-1,-1,-1,0.07564724208301912,"[0.00, 0.03)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
119,0.03491002,0.02931568,0.04530724,0.03729644,0.05920817,0.53061224,0.07142857,0.02325581,0.23813815,0.4120934,0.25155439,0.35589864,0.31937424,0.54653642,0.2939807,0.42451491,0.46056903,0.46852321,0.50083422,0.61072627,0.48112903,0.67172835,0.59740656,0.52658358,0.51034448,0.46831267,0.44347799,0.56838812,-1,-1,-1,-1,0.08336292837850708,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
126,0.03900777,0.02921899,0.05085016,0.0343998,0.06547027,0.52380952,0.07142857,0.04651163,0.19857725,0.3919854,0.22489727,0.32126683,0.27392632,0.52705936,0.24240834,0.37321672,0.45831279,0.46481501,0.47690132,0.58782146,0.46955556,0.63786505,0.58283836,0.46641665,0.50520578,0.49027127,0.44413402,0.56243666,-1,-1,-1,-1,0.08975211009184408,"[0.03, 0.06)","[0.00, 0.04)","[0.05, 0.07)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
133,0.01613866,0.01949444,0.01641728,0.03988405,0.05082447,0.50680272,0.04761905,0.06976744,0.1343489,0.42309138,0.19546659,0.30704792,0.20905629,0.543793,0.20404052,0.34165435,0.36234855,0.37990521,0.47827047,0.54319816,0.46323778,0.60638472,0.60498905,0.30181615,0.49777596,0.55803619,0.42529408,0.65470246,-1,-1,-1,-1,0.06665876744871449,"[0.00, 0.03)","[0.00, 0.04)","[0.02, 0.03)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
