Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.19088909,0.05987888,0.38090694,0.19126096,0.05165256,0.51298701,0.11428571,0.07500000,0.52557147,0.48413915,0.43476773,0.43960059,0.54356186,0.50975292,0.50389314,0.55254196,0.74379999,0.72977234,0.41763654,0.50476693,0.48266288,0.56303253,0.50925809,0.39034389,0.47096827,0.35128025,0.33298393,0.39775684,-1,-1,-1,1
0.18078174,0.05719329,0.27927566,0.18763398,0.10513649,0.51623377,0.11428571,0.10000000,0.57267694,0.51689394,0.47886104,0.47399302,0.59085749,0.53421355,0.53581935,0.57892271,0.76723069,0.74262112,0.42151715,0.51406132,0.49809211,0.57214510,0.53081693,0.35479165,0.45405332,0.33771737,0.37871180,0.40405219,-1,-1,-1,1
0.23126686,0.12821319,0.32636676,0.24471648,0.13689117,0.51948052,0.11428571,0.10000000,0.58158513,0.51303778,0.49900995,0.49370436,0.60836414,0.53183081,0.55032780,0.57295494,0.76832338,0.74304799,0.43642753,0.50686347,0.51430464,0.56706904,0.53913902,0.34029358,0.43716447,0.32730910,0.38445381,0.38463681,-1,-1,-1,1
0.21058133,0.22893789,0.28577716,0.22635658,0.13541165,0.51948052,0.08571429,0.10000000,0.58686364,0.52113871,0.51895094,0.51698279,0.62395478,0.55096767,0.55971478,0.59517331,0.77497122,0.76001581,0.43567507,0.50266883,0.51223044,0.56225835,0.53584992,0.33421094,0.42736507,0.33568619,0.36026980,0.37736788,-1,-1,-1,1
0.20294347,0.22533253,0.24381508,0.22313625,0.12811012,0.52272727,0.08571429,0.07500000,0.58696830,0.52634506,0.52698841,0.52181726,0.61841842,0.56769240,0.56806276,0.59518923,0.78646251,0.77642568,0.42747496,0.49228337,0.49416640,0.55830542,0.51940875,0.34490223,0.41601349,0.34397582,0.36974569,0.39084575,-1,-1,-1,1
0.18799426,0.22465485,0.23196628,0.20461659,0.12349435,0.52597403,0.05714286,0.05000000,0.59744566,0.53291853,0.53399080,0.52619217,0.63243338,0.57618475,0.57418590,0.60939988,0.79147869,0.77956400,0.43921398,0.49055434,0.49977335,0.55985970,0.52076631,0.37615788,0.36508721,0.39716029,0.40593249,0.43030760,-1,-1,-1,1
0.15044880,0.21399816,0.13245054,0.18748899,0.12370326,0.52272727,0.08571429,0.05000000,0.59449619,0.52644284,0.52866178,0.52020864,0.62658592,0.57352827,0.57539164,0.60348156,0.78962757,0.77781080,0.44866558,0.47929564,0.50642025,0.55463593,0.51742890,0.38992819,0.30717624,0.43531960,0.42862068,0.44585947,-1,-1,-1,1
0.15185596,0.18534468,0.21758063,0.18119258,0.07478904,0.52272727,0.08571429,0.05000000,0.59271244,0.50792080,0.53713024,0.52112478,0.62129206,0.56725821,0.58881317,0.61183148,0.77927414,0.77702334,0.46998355,0.47378630,0.52855390,0.55706852,0.53142923,0.37448106,0.26767363,0.43688548,0.47306190,0.42962694,-1,-1,-1,1
0.07989340,0.11750949,0.13974264,0.09947231,0.04337470,0.51948052,0.05714286,0.05000000,0.54459922,0.48162757,0.51509789,0.49653413,0.57745522,0.54538028,0.57276673,0.58388447,0.75762823,0.76798835,0.45939503,0.45922247,0.51109691,0.54837395,0.51167678,0.36870186,0.25722912,0.43813497,0.45792150,0.39241530,-1,-1,-1,1
0.10235153,0.13246617,0.15924654,0.12944293,0.03333504,0.51623377,0.08571429,0.07500000,0.52064891,0.48269573,0.50266002,0.47757535,0.55050174,0.54784798,0.55736202,0.57049384,0.74867081,0.76418288,0.45481982,0.46450754,0.50730331,0.55306157,0.51309044,0.36259302,0.24479348,0.44563866,0.48630433,0.39126792,-1,-1,-1,1
0.11311445,0.10133531,0.23260349,0.12494161,0.04501120,0.51623377,0.11428571,0.07500000,0.48183189,0.45563874,0.47721111,0.45147822,0.50681733,0.51548539,0.53445736,0.54043631,0.73455433,0.75250103,0.44136511,0.46079564,0.48904400,0.55425827,0.50097931,0.35997072,0.19932245,0.46544163,0.48831389,0.38167643,-1,-1,-1,1
0.11244979,0.14993129,0.23996197,0.11901553,0.04338482,0.51623377,0.11428571,0.07500000,0.48626224,0.46230286,0.50218306,0.47405397,0.52314358,0.51796646,0.55249561,0.54688465,0.74719721,0.77021335,0.47358849,0.47773741,0.53381611,0.56559232,0.54181049,0.34578434,0.18884831,0.47839392,0.51685232,0.40694872,-1,-1,-1,1
0.14811099,0.16103396,0.27029024,0.15646362,0.07500661,0.52272727,0.14285714,0.12500000,0.50390723,0.48523406,0.53622783,0.50193161,0.54305762,0.53579968,0.57406948,0.56591980,0.77473913,0.79920816,0.49591236,0.48695895,0.57077920,0.57576496,0.57262122,0.32255461,0.21291221,0.43931216,0.54213735,0.41272844,-1,-1,-1,1
0.15888318,0.13464786,0.20990370,0.20119218,0.06763705,0.53571429,0.14285714,0.12500000,0.52314563,0.49859961,0.56308067,0.52811726,0.56551917,0.53714986,0.59495689,0.57121564,0.79299686,0.82103276,0.50731781,0.49442520,0.58883597,0.57499723,0.58032851,0.34645082,0.23540231,0.42590042,0.57293157,0.44196979,-1,-1,-1,1
0.17621085,0.12419120,0.20926291,0.21643123,0.09441114,0.54545455,0.14285714,0.12500000,0.52006649,0.49692163,0.54852827,0.51654869,0.56440684,0.52519953,0.57387885,0.55486688,0.80441393,0.82611906,0.47417572,0.49594640,0.55277744,0.57645609,0.55584339,0.36101461,0.25408036,0.42886562,0.54228936,0.45670138,-1,-1,-1,1
0.22214680,0.19751580,0.25996732,0.26993996,0.09972773,0.55194805,0.14285714,0.15000000,0.52687240,0.50592664,0.53328187,0.50651123,0.57266405,0.53075090,0.55251596,0.55145612,0.81199138,0.82891444,0.47358941,0.49757080,0.55283228,0.57435162,0.55542283,0.37287853,0.26486465,0.44752684,0.52334761,0.48606001,-1,-1,-1,1
0.20598981,0.23367784,0.24279394,0.24827322,0.08819764,0.56168831,0.11428571,0.15000000,0.51675659,0.50257695,0.52296263,0.50297997,0.55656351,0.51930481,0.54699441,0.54633036,0.81194142,0.82879684,0.44824891,0.48129832,0.52287626,0.55926649,0.52375186,0.36459128,0.27818520,0.44565269,0.48889864,0.48061667,-1,-1,-1,1
0.21263859,0.19663877,0.23895010,0.26264878,0.08563440,0.56493506,0.14285714,0.12500000,0.54018126,0.51752529,0.53267157,0.51422550,0.57489653,0.52915905,0.56183131,0.54925358,0.81711484,0.83726206,0.43251484,0.47929945,0.51565078,0.55189417,0.51217266,0.34758724,0.34079550,0.42051571,0.48527231,0.48901179,-1,-1,-1,1
0.19812151,0.21313334,0.22790565,0.25132564,0.05036723,0.56818182,0.08571429,0.12500000,0.54365873,0.52380275,0.52044166,0.50722214,0.57021038,0.53435792,0.55281355,0.53885231,0.80031297,0.82273456,0.39957572,0.49797592,0.48084127,0.57002444,0.50356316,0.34431593,0.37213697,0.39061635,0.46849930,0.46469488,-1,-1,-1,1
0.21001942,0.23449543,0.25663210,0.25813179,0.08087695,0.56493506,0.05714286,0.10000000,0.55293504,0.54308624,0.51945096,0.51050747,0.57711658,0.53972590,0.55617689,0.54780906,0.78119482,0.80923126,0.40010590,0.53496844,0.48150730,0.59921002,0.53456384,0.34203613,0.40010489,0.37369349,0.46775624,0.45243476,-1,-1,-1,1
0.19852464,0.21648553,0.29314103,0.23646068,0.04512695,0.56493506,0.11428571,0.12500000,0.55781290,0.56116569,0.51522692,0.50990430,0.57904367,0.55479215,0.55883959,0.56037661,0.76731593,0.79820566,0.40271481,0.57908300,0.48578579,0.64036609,0.57900957,0.28083992,0.42146765,0.34635955,0.44426058,0.42061366,-1,-1,-1,1
0.13853490,0.13573676,0.23039795,0.15939621,0.06338488,0.56168831,0.11428571,0.12500000,0.55293678,0.56900073,0.50770754,0.51417584,0.57525075,0.56610828,0.56997042,0.56650192,0.74614774,0.79022761,0.40571719,0.58995938,0.48830779,0.65302591,0.59098699,0.28048327,0.43362169,0.34534846,0.41168991,0.41905009,-1,-1,-1,1
