Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.23243866,0.13199621,0.23740616,0.14952348,0.24767529,0.76190476,0.40000000,0.80000000,0.41316270,0.25963675,0.44738612,0.39870007,0.39879169,0.25901673,0.38587881,0.31625032,0.72146022,0.63938787,0.36725445,0.30667853,0.47878134,0.17397232,0.37970367,0.30377297,0.46425225,0.56275163,0.51623988,0.37519232,-1,-1,-1,-1
0.22569267,0.11382919,0.19058461,0.18592214,0.23274626,0.76190476,0.40000000,0.80000000,0.41811093,0.24876349,0.41927727,0.37648345,0.40821801,0.25954288,0.36207721,0.34599540,0.71393246,0.65616576,0.37452173,0.29807516,0.48410212,0.16862701,0.37396555,0.33379448,0.41106342,0.60665924,0.55136271,0.41711961,-1,-1,-1,-1
0.23218788,0.13678017,0.18330950,0.21122485,0.21585218,0.76190476,0.40000000,0.60000000,0.43573078,0.26129868,0.43775137,0.40292395,0.42922130,0.28389063,0.38677037,0.37386000,0.73305094,0.67751380,0.40356408,0.30462542,0.51300945,0.17732826,0.40941267,0.35301735,0.37426467,0.65698203,0.56299218,0.45407962,-1,-1,-1,-1
0.21190274,0.12526720,0.15344135,0.17651219,0.22237541,0.76190476,0.20000000,0.40000000,0.44678212,0.28283183,0.42784793,0.39484897,0.43635908,0.29839066,0.37287261,0.39502271,0.75424033,0.69773081,0.38154208,0.30322800,0.50193753,0.17340282,0.39829843,0.34980841,0.38314362,0.67160913,0.56342821,0.48639717,-1,-1,-1,-1
0.24687689,0.18744914,0.20354880,0.28399952,0.13201648,0.71428571,0.20000000,0.20000000,0.45584008,0.28358978,0.41719309,0.38528032,0.43333659,0.28947280,0.35962731,0.39213892,0.76344348,0.71560057,0.35960674,0.29624506,0.48949798,0.16190245,0.38294208,0.34419202,0.38884069,0.68887987,0.55912142,0.50181245,-1,-1,-1,-1
0.29008695,0.19349988,0.22488472,0.34359005,0.14054293,0.66666667,0.00000000,0.00000000,0.46939860,0.29209794,0.41577750,0.38748959,0.43412737,0.28738028,0.35825145,0.39962266,0.76635686,0.72918047,0.34295655,0.28631429,0.48390213,0.14685769,0.36750972,0.34295550,0.39514948,0.70702275,0.55479607,0.52029187,-1,-1,-1,-1
0.45573842,0.33170480,0.31932725,0.56287286,0.22131046,0.66666667,0.00000000,0.00000000,0.49943639,0.30151781,0.41998487,0.39316818,0.45913470,0.28991201,0.36349826,0.42899618,0.77282639,0.74415588,0.34010772,0.31066527,0.48927513,0.17025723,0.38412330,0.35690753,0.38735061,0.69396861,0.55721996,0.52555486,-1,-1,-1,-1
0.53019806,0.42221349,0.32635734,0.65004698,0.27773574,0.66666667,0.00000000,0.00000000,0.53730921,0.32605025,0.46224567,0.43401360,0.50098151,0.30601614,0.40005258,0.45882483,0.78664528,0.76430571,0.36544522,0.31418416,0.52408189,0.17579560,0.39856518,0.36067690,0.40662162,0.68246516,0.56309489,0.52673559,-1,-1,-1,-1
0.58877577,0.41914730,0.30324285,0.74060819,0.25815606,0.66666667,0.00000000,0.00000000,0.56432525,0.34690591,0.49991887,0.47348062,0.53446566,0.32526455,0.44000549,0.48354525,0.78927637,0.76108450,0.37750451,0.31726247,0.53855013,0.19132361,0.40797085,0.36745804,0.40327566,0.70504205,0.56467313,0.52081298,-1,-1,-1,-1
0.64032318,0.34039536,0.27727786,0.85639898,0.20302164,0.66666667,0.00000000,0.00000000,0.60621960,0.35869511,0.52591306,0.50629373,0.58442453,0.33628041,0.46977315,0.50740316,0.77136011,0.76236770,0.39655623,0.32255753,0.54134765,0.20291963,0.42108988,0.38427850,0.38051070,0.72899601,0.55723825,0.52255090,-1,-1,-1,-1
0.56094589,0.37827172,0.22697910,0.75329495,0.18235216,0.66666667,0.00000000,0.00000000,0.60868193,0.33070435,0.53264745,0.51694316,0.59716772,0.32370561,0.48174951,0.48965127,0.74808282,0.74568828,0.39837317,0.31377392,0.52582951,0.19577172,0.41273111,0.39137217,0.34687074,0.75767605,0.55130505,0.50075807,-1,-1,-1,-1
0.51620960,0.24981308,0.22124090,0.66884743,0.15739691,0.66666667,0.00000000,0.00000000,0.65422955,0.33988063,0.57739926,0.56713272,0.66010418,0.34973244,0.53896154,0.54773533,0.73612020,0.73798249,0.41514124,0.33380644,0.52514177,0.21417094,0.43276785,0.39609043,0.34398055,0.75645604,0.54009121,0.49815380,-1,-1,-1,-1
0.39624349,0.15599941,0.14328554,0.45543805,0.13982661,0.71428571,0.20000000,0.20000000,0.68747373,0.36736868,0.60629532,0.60051190,0.70461073,0.38807628,0.58164891,0.57443472,0.71997178,0.71871230,0.44257191,0.35473979,0.53775133,0.23588178,0.46197887,0.38715265,0.33759333,0.75172956,0.52981084,0.48237443,-1,-1,-1,-1
0.37703335,0.14873985,0.18146166,0.42533852,0.12208848,0.71428571,0.40000000,0.20000000,0.68409458,0.36453142,0.63417589,0.63738725,0.71008416,0.39135435,0.61396243,0.55450344,0.69327905,0.67498425,0.45399383,0.34289525,0.54142100,0.22980927,0.45925979,0.37671738,0.36250432,0.77347714,0.49230499,0.47610931,-1,-1,-1,-1
0.30450266,0.17513081,0.19707189,0.29460882,0.16634885,0.71428571,0.40000000,0.40000000,0.68914775,0.37855283,0.66073980,0.67247224,0.72764747,0.40544835,0.64189594,0.55437461,0.67884008,0.65245357,0.45288695,0.33629934,0.53663990,0.22121745,0.45624141,0.35806610,0.38063367,0.80204652,0.45747516,0.48526755,-1,1,-1,-1
0.27101820,0.12578934,0.21485645,0.24417084,0.18648671,0.71428571,0.40000000,0.40000000,0.69805313,0.37268347,0.67834169,0.69580492,0.73487864,0.40499233,0.66042444,0.54053901,0.66053677,0.62641169,0.46130190,0.33798105,0.54531441,0.21875628,0.46130748,0.35032945,0.40426461,0.78570718,0.44871237,0.49121134,-1,1,-1,-1
0.30603671,0.13512201,0.16733342,0.31069049,0.23392940,0.71428571,0.40000000,0.40000000,0.73071904,0.39120036,0.70932800,0.73341607,0.76302889,0.41966208,0.70252756,0.56074812,0.65216851,0.61175947,0.46704653,0.35240495,0.54581663,0.22410952,0.47116273,0.35178321,0.43348944,0.76422956,0.43986650,0.50024007,-1,1,-1,-1
0.31499816,0.12227295,0.09512449,0.34940485,0.29214408,0.71428571,0.40000000,0.20000000,0.74904471,0.41885463,0.72741127,0.75516840,0.77126798,0.44550252,0.72955866,0.59709047,0.65205205,0.60085029,0.49616228,0.37812962,0.57505288,0.24219367,0.50311004,0.34387084,0.43018678,0.74966695,0.46381731,0.51446525,-1,1,-1,-1
0.29825193,0.11252884,0.08404018,0.40310542,0.24329794,0.71428571,0.20000000,0.20000000,0.71811387,0.42997424,0.70667904,0.73776205,0.72417788,0.45702015,0.71117937,0.56550819,0.65306074,0.58429014,0.52185191,0.39424087,0.60507799,0.25343307,0.52741909,0.33454449,0.40803045,0.77414190,0.50059830,0.54163562,-1,1,-1,-1
0.28114696,0.06551065,0.06709106,0.38947788,0.22621360,0.66666667,0.00000000,0.00000000,0.70371132,0.44006392,0.70174217,0.73426744,0.71280019,0.47215182,0.70623434,0.58979310,0.65818332,0.57524956,0.52931045,0.41211480,0.61058751,0.26282612,0.53962235,0.31953989,0.40982584,0.77154488,0.51832208,0.54616766,-1,1,-1,-1
0.29978837,0.04844270,0.10455104,0.42269954,0.17843895,0.66666667,0.00000000,0.00000000,0.69714348,0.46002311,0.67083531,0.70495277,0.70314292,0.49345222,0.68270497,0.61238239,0.66066925,0.58105663,0.55770554,0.44711584,0.62616831,0.28017131,0.57473516,0.30187998,0.39782579,0.77610396,0.56179454,0.56620368,-1,1,-1,-1
0.29022089,0.04160773,0.12092348,0.39529761,0.19329395,0.71428571,0.20000000,0.20000000,0.64613240,0.43691195,0.61482484,0.65359697,0.64725426,0.48725050,0.63662897,0.59984724,0.64218520,0.54667545,0.56755696,0.47659528,0.62914920,0.29018957,0.59754659,0.28079979,0.38971763,0.76028170,0.58867729,0.55969562,-1,1,-1,-1
0.25211525,0.03573411,0.16412746,0.32286304,0.16204177,0.71428571,0.40000000,0.20000000,0.66726796,0.48774124,0.63176765,0.67556351,0.67835400,0.53214277,0.65741824,0.65349314,0.65826717,0.55658514,0.58668206,0.51671538,0.63680004,0.31770192,0.63182964,0.25965613,0.40689810,0.74092238,0.59741268,0.56816955,-1,1,-1,-1
0.23688693,0.04356555,0.18916242,0.28037826,0.16007506,0.71428571,0.40000000,0.40000000,0.65117291,0.51917630,0.62051062,0.66713132,0.66327971,0.56225947,0.65167339,0.67200531,0.67580059,0.56745564,0.61061195,0.54942771,0.64274192,0.35424053,0.66961740,0.23457067,0.39444947,0.74221013,0.62010962,0.58188203,-1,1,-1,-1
0.23569610,0.05389211,0.17493288,0.27373381,0.16738819,0.71428571,0.40000000,0.40000000,0.67648045,0.57338714,0.64233444,0.69378327,0.69486356,0.60791291,0.68138023,0.69361075,0.69377651,0.59562321,0.61920958,0.57638293,0.64969954,0.38518655,0.69610313,0.20994826,0.42252022,0.74012478,0.62932756,0.60631569,-1,1,-1,-1
0.27432635,0.11222713,0.20030653,0.27869342,0.24394919,0.71428571,0.40000000,0.40000000,0.68097331,0.59134783,0.64969788,0.69844885,0.71010358,0.61602470,0.67989135,0.69126548,0.69538295,0.60736938,0.60869054,0.57482902,0.63652270,0.38087198,0.69154444,0.18335119,0.43593189,0.72190583,0.63582254,0.59702197,-1,1,-1,-1
0.36979646,0.16921127,0.20761856,0.35004530,0.40596660,0.71428571,0.40000000,0.20000000,0.68713849,0.57880033,0.64639710,0.69946809,0.70994377,0.59970785,0.67254506,0.66208116,0.70061895,0.62117657,0.60796030,0.58980651,0.64404360,0.39922359,0.70767794,0.16666769,0.43492709,0.72878846,0.65156333,0.62050347,-1,1,-1,-1
0.36699820,0.30385748,0.21933661,0.34612166,0.37778980,0.71428571,0.20000000,0.20000000,0.66011561,0.56142766,0.63198721,0.68854620,0.68324953,0.58274213,0.65917119,0.65066357,0.69645824,0.62015127,0.57075233,0.58228645,0.61143640,0.39109628,0.68788616,0.14885601,0.46552641,0.69082517,0.61858446,0.59375700,-1,1,-1,-1
0.37965950,0.29938957,0.18245454,0.37307873,0.41372991,0.71428571,0.20000000,0.20000000,0.67754989,0.57166580,0.63629526,0.69234398,0.69337269,0.58233861,0.66556632,0.65693027,0.70120147,0.63810433,0.56805003,0.58509893,0.60932102,0.40156663,0.69219489,0.14018655,0.49329523,0.66237808,0.60405661,0.58197984,-1,1,-1,-1
0.38531233,0.28068692,0.17210528,0.39138122,0.41711819,0.71428571,0.40000000,0.20000000,0.64304735,0.52948040,0.57802712,0.63161996,0.63780884,0.54704386,0.61574345,0.61224081,0.68818737,0.63639011,0.57062249,0.58137658,0.62071915,0.39734947,0.69622334,0.12787816,0.48183088,0.65672496,0.61843026,0.57105937,-1,1,-1,-1
0.36972607,0.22489450,0.20602123,0.38730552,0.35064928,0.71428571,0.40000000,0.40000000,0.64678060,0.51468187,0.56267198,0.61334033,0.63275779,0.52910054,0.60440348,0.60978711,0.68120579,0.63371088,0.56587602,0.57581534,0.62936924,0.38519925,0.69277055,0.11805972,0.50392236,0.63006144,0.62036077,0.55332492,-1,1,-1,-1
0.30152889,0.16066367,0.19687417,0.32591060,0.25918224,0.71428571,0.40000000,0.40000000,0.63784638,0.50587327,0.53901939,0.58665381,0.61615843,0.52141871,0.58346896,0.60389549,0.66550682,0.60961840,0.56165092,0.57493460,0.62406589,0.38499671,0.69121713,0.11281460,0.50946612,0.60956512,0.61904193,0.53602176,-1,1,-1,-1
0.16768375,0.02760533,0.13031251,0.19702504,0.13086060,0.71428571,0.40000000,0.40000000,0.64721143,0.52132082,0.54577168,0.59832805,0.62097624,0.53962191,0.60179171,0.64034671,0.66465843,0.60292759,0.57580453,0.60769728,0.64837865,0.42333249,0.72367015,0.12206905,0.52514413,0.60639872,0.60710111,0.54507127,-1,1,-1,-1
0.18651085,0.08425572,0.10595279,0.23813868,0.13525574,0.71428571,0.40000000,0.20000000,0.65008180,0.54243472,0.54750206,0.59722709,0.62263462,0.55813712,0.60649941,0.66396970,0.65283301,0.59216033,0.56026580,0.62825623,0.63397936,0.45136951,0.73224661,0.12122163,0.53035965,0.59677059,0.61900757,0.54422701,-1,1,-1,-1
0.18641379,0.10533601,0.12572311,0.25202334,0.08417962,0.71428571,0.20000000,0.20000000,0.66728818,0.57688593,0.57186150,0.61650406,0.64131079,0.58707043,0.62349091,0.69276118,0.65759760,0.58879690,0.57822203,0.66239409,0.65508300,0.49732363,0.76856883,0.12131793,0.50966845,0.58927528,0.65561282,0.54376505,-1,1,-1,-1
0.16735628,0.12366927,0.15009015,0.23804060,0.03395279,0.66666667,0.00000000,0.00000000,0.69439742,0.60866676,0.60235262,0.64180406,0.66393132,0.61714517,0.65384140,0.71572453,0.66243218,0.58621607,0.58731387,0.68836769,0.66569647,0.53337108,0.79376633,0.11930502,0.48995262,0.57711101,0.69377518,0.54521323,-1,1,-1,-1
0.17127290,0.13814323,0.11129768,0.24520071,0.07252456,0.66666667,0.00000000,0.00000000,0.73582661,0.67489675,0.67001815,0.70864001,0.72007988,0.67893313,0.72196023,0.76279210,0.66254757,0.58513956,0.58844698,0.71205251,0.66153172,0.57198936,0.81278995,0.10907649,0.49071728,0.58266398,0.71645252,0.57436374,-1,1,-1,-1
0.17195142,0.13146735,0.07672815,0.25306657,0.09659188,0.66666667,0.00000000,0.00000000,0.72610007,0.69518434,0.67859998,0.71735216,0.71520374,0.69393443,0.72639909,0.76806290,0.66604281,0.58247152,0.59281799,0.73070145,0.66554269,0.59842828,0.83007970,0.10043308,0.48116840,0.57731569,0.71310774,0.57305329,-1,1,-1,-1
0.22311165,0.12205561,0.11028680,0.27189662,0.16043724,0.66666667,0.00000000,0.00000000,0.70936200,0.70582905,0.69040960,0.73046825,0.70174442,0.69879365,0.73591527,0.76609690,0.66977754,0.58192392,0.59886335,0.73569471,0.66495753,0.61129077,0.83728667,0.09468820,0.47412861,0.57439835,0.70450676,0.56394296,-1,1,-1,-1
0.16977430,0.18470838,0.09967696,0.18247731,0.16765641,0.66666667,0.00000000,0.00000000,0.70624211,0.72522342,0.69135799,0.73089270,0.69810313,0.71215351,0.73965076,0.76425683,0.66798558,0.57771703,0.60399708,0.72426082,0.65172678,0.61243349,0.83207085,0.08048650,0.46773408,0.56319027,0.70883115,0.54998914,-1,1,-1,-1
0.22148109,0.28083524,0.14314976,0.22949483,0.21908338,0.66666667,0.00000000,0.00000000,0.67685071,0.71175890,0.66971526,0.70759021,0.67021265,0.69817806,0.71566374,0.73469888,0.67852207,0.58199829,0.59783935,0.69019747,0.63915071,0.56555076,0.80099844,0.08734628,0.46430262,0.56596054,0.69566522,0.54249751,-1,1,-1,-1
0.23907748,0.33370295,0.13987210,0.23479310,0.26295284,0.66666667,0.00000000,0.00000000,0.70928802,0.73976261,0.69938715,0.73856487,0.70033929,0.72465908,0.75288290,0.75812807,0.68631641,0.59968343,0.60075569,0.67681154,0.63191537,0.55162594,0.79056930,0.08239861,0.47357492,0.57858194,0.70223520,0.56937133,-1,1,-1,-1
0.21703942,0.35386870,0.13866807,0.18002666,0.26327579,0.66666667,0.00000000,0.00000000,0.67248363,0.74216344,0.68904529,0.72730551,0.67624693,0.71487472,0.73254677,0.74997775,0.70320867,0.62032428,0.62228942,0.66415950,0.64287253,0.54179843,0.79071978,0.08600665,0.46156544,0.61169516,0.69216634,0.58016273,-1,1,-1,-1
0.27673178,0.40411031,0.20645329,0.24701033,0.27258927,0.66666667,0.00000000,0.00000000,0.66038699,0.70727006,0.66196759,0.69722453,0.66163971,0.67596935,0.70371510,0.72963465,0.72539332,0.64156101,0.61738069,0.64843999,0.63745050,0.51779937,0.77610826,0.08900314,0.45473279,0.59176057,0.68310890,0.55030538,-1,1,-1,-1
0.23228842,0.41301755,0.18338120,0.26302758,0.18374571,0.66666667,0.00000000,0.00000000,0.70351457,0.70254114,0.66689905,0.69625652,0.69902190,0.68395484,0.70641793,0.74708571,0.74307164,0.65764903,0.63993735,0.65229438,0.66356042,0.51850528,0.79052348,0.09116542,0.45843574,0.57862043,0.70615312,0.55203041,-1,1,-1,-1
0.26318767,0.30895606,0.17240125,0.29209520,0.22497508,0.66666667,0.00000000,0.00000000,0.75143625,0.69499490,0.68073994,0.70586688,0.73935977,0.69084046,0.71718484,0.76609267,0.74441675,0.66849699,0.63206390,0.65926317,0.65966525,0.51729530,0.78781422,0.10805834,0.47479446,0.57489443,0.70302224,0.55531194,-1,1,-1,-1
0.17592332,0.27433768,0.10095941,0.20328528,0.17228940,0.66666667,0.00000000,0.00000000,0.72009200,0.65266935,0.66247064,0.68570999,0.71316604,0.65665067,0.69285028,0.73560876,0.74819762,0.68006086,0.61616519,0.65141232,0.65988522,0.49915447,0.77299914,0.12927589,0.47241664,0.57594801,0.69113945,0.55453839,-1,1,-1,-1
0.13541988,0.25180690,0.06743158,0.17715554,0.13122503,0.66666667,0.00000000,0.00000000,0.70804310,0.60679442,0.66565552,0.68779898,0.69798457,0.62652730,0.69941597,0.70579639,0.74618599,0.67100929,0.61979474,0.64728129,0.66985562,0.50561922,0.77182429,0.14903191,0.47841348,0.57917013,0.69405463,0.55917657,-1,1,-1,-1
