Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.21805493,0.16029427,0.33073494,0.13087463,0.05591875,0.92857143,0.11111111,0.20000000,0.36203740,0.55985113,0.48987889,0.42968529,0.34171190,0.47818373,0.35505102,0.43599966,0.66422196,0.72657954,0.15432535,0.41968454,0.24386651,0.39582369,0.35383331,0.32221282,0.18896134,0.67178420,0.66333535,0.49208300,-1,-1,-1,-1
0.21846930,0.18257470,0.36728378,0.10303848,0.06158745,1.00000000,0.00000000,0.00000000,0.32916812,0.51336390,0.46196268,0.40899155,0.32523051,0.44438689,0.32762214,0.42593394,0.61650371,0.67253862,0.15613616,0.40342158,0.22674849,0.39004265,0.34783688,0.30799493,0.18648972,0.68635303,0.63067848,0.45933129,-1,-1,-1,-1
0.30212598,0.23029651,0.48815135,0.16871584,0.06901038,1.00000000,0.00000000,0.00000000,0.30475010,0.48558530,0.45784250,0.40927771,0.31835556,0.41902632,0.31775565,0.42681114,0.59395784,0.64470428,0.15132262,0.38623047,0.21362811,0.36846722,0.33641782,0.29193215,0.19809529,0.67562587,0.59920497,0.42496156,-1,-1,-1,-1
0.31953947,0.27600491,0.50239781,0.20922160,0.04958906,1.00000000,0.00000000,0.00000000,0.29953208,0.45848502,0.44450017,0.39720505,0.31843992,0.41684000,0.31005320,0.41087012,0.58545025,0.62039646,0.15273360,0.39964248,0.21401129,0.38353472,0.34475710,0.29531420,0.18442631,0.67680701,0.59670204,0.41867689,-1,-1,-1,-1
0.32966048,0.18847009,0.53394039,0.18710769,0.05318165,0.92857143,0.11111111,0.20000000,0.30991131,0.46875249,0.44458516,0.39865070,0.32735022,0.43406798,0.32210121,0.42590441,0.58022717,0.61789589,0.15692800,0.40519316,0.22085936,0.39546463,0.35350944,0.29646421,0.19092112,0.66288124,0.59373230,0.41067464,-1,-1,-1,-1
0.23605608,0.13930937,0.34323287,0.20232510,0.05872145,0.85714286,0.11111111,0.40000000,0.30444199,0.48028650,0.43332788,0.38769579,0.32539927,0.44767952,0.31311317,0.43234587,0.59783372,0.63013689,0.17270919,0.41237948,0.23720167,0.40632728,0.36800894,0.30366345,0.20196446,0.66994787,0.58615243,0.40840196,-1,-1,-1,-1
0.18576005,0.10761397,0.27598430,0.15508087,0.04140067,0.85714286,0.22222222,0.60000000,0.30179434,0.46691203,0.42682887,0.38318679,0.32329164,0.44654727,0.31543223,0.42621731,0.60769418,0.64248740,0.18379320,0.42296907,0.24916669,0.42639043,0.38507779,0.30324598,0.21473732,0.65465492,0.58359024,0.40684669,-1,-1,-1,-1
0.20980445,0.07692102,0.32007714,0.15466503,0.03193161,0.78571429,0.33333333,0.60000000,0.31066968,0.47537612,0.42351105,0.38005405,0.32909248,0.45104299,0.31627163,0.42491310,0.61783034,0.64741798,0.17965886,0.43585539,0.25420310,0.44624952,0.39995513,0.29288931,0.21787715,0.63496184,0.60179116,0.39671323,-1,-1,-1,-1
0.18586970,0.04299538,0.29880494,0.10102462,0.03096467,0.78571429,0.44444444,0.60000000,0.31619848,0.48943338,0.41998441,0.37837303,0.33472303,0.45916893,0.32243148,0.42610324,0.63712165,0.66626326,0.17125261,0.44766468,0.24628149,0.45581575,0.40097449,0.29187928,0.20694190,0.62276123,0.61730755,0.38129482,-1,-1,-1,-1
0.16221537,0.08154721,0.24997232,0.08502966,0.04233221,0.71428571,0.55555556,0.40000000,0.30871039,0.47801249,0.40951265,0.37235404,0.32724829,0.45552267,0.32211406,0.40583100,0.63513034,0.66117360,0.16672524,0.45241372,0.22483590,0.46888638,0.39770020,0.29183918,0.19084630,0.62095150,0.61960108,0.35272802,-1,-1,-1,-1
0.16489540,0.09564855,0.23998884,0.11507844,0.03962328,0.64285714,0.44444444,0.40000000,0.30083278,0.47266618,0.41037432,0.37750454,0.32463705,0.44503172,0.32742262,0.40105351,0.63112821,0.64971758,0.16893834,0.46614796,0.21864573,0.47971035,0.40468609,0.29117562,0.18240013,0.61753111,0.61738501,0.32601801,-1,-1,-1,-1
0.20957415,0.12710531,0.29401027,0.16266333,0.04772124,0.71428571,0.55555556,0.40000000,0.29124257,0.45549550,0.41467304,0.38399029,0.32208287,0.43332718,0.32594884,0.39481030,0.61979088,0.64108761,0.17129532,0.45983943,0.21447690,0.47318533,0.40159484,0.28814338,0.16758928,0.62736322,0.62520887,0.30765896,-1,-1,-1,-1
0.21036447,0.14678589,0.28571278,0.16590612,0.04842857,0.78571429,0.44444444,0.60000000,0.31078301,0.42336427,0.42922503,0.39634975,0.32895400,0.41341651,0.34740670,0.39073335,0.60185117,0.62087504,0.17393042,0.45546943,0.21620699,0.46712372,0.40269577,0.28142085,0.13399832,0.64267379,0.62487772,0.30914129,-1,-1,-1,-1
0.17904204,0.13142847,0.21698693,0.17540565,0.06122130,0.78571429,0.33333333,0.60000000,0.34968725,0.45041263,0.47137945,0.43316140,0.36995793,0.43597792,0.37493845,0.40285526,0.60281552,0.62276655,0.16445015,0.44220909,0.19102681,0.45416164,0.38368213,0.27838466,0.12091889,0.66791974,0.62324931,0.32369076,-1,-1,-1,-1
0.13423586,0.08502531,0.10461152,0.19871486,0.06877524,0.78571429,0.33333333,0.80000000,0.36762881,0.45726759,0.51431130,0.47216334,0.38551463,0.45270836,0.41037184,0.41800515,0.59532440,0.62149077,0.14467400,0.42094859,0.16589676,0.40744728,0.35250991,0.26125961,0.13900802,0.69136845,0.60645446,0.34462912,-1,-1,-1,-1
0.13539278,0.07652790,0.10428217,0.19966137,0.07164383,0.78571429,0.33333333,0.60000000,0.37971181,0.46042143,0.52697829,0.48488046,0.39391758,0.46763666,0.41730457,0.42115067,0.56850612,0.59512125,0.14695418,0.40679192,0.17333723,0.37377393,0.34718997,0.24248924,0.15833916,0.70726823,0.58768730,0.36769899,-1,-1,-1,-1
0.11882288,0.03919212,0.07514140,0.18906304,0.07327130,0.78571429,0.44444444,0.40000000,0.38376016,0.44268065,0.52371380,0.48229551,0.39329835,0.46168064,0.41478446,0.41830849,0.54307820,0.58166830,0.15907900,0.38765016,0.19335510,0.33293113,0.34736455,0.21626512,0.17107287,0.72464606,0.57072680,0.37920944,-1,-1,-1,-1
0.09072991,0.01828353,0.07786106,0.12600731,0.06175670,0.85714286,0.44444444,0.20000000,0.36125782,0.40600175,0.49664454,0.45662089,0.36668661,0.43820014,0.38631059,0.39558267,0.50501315,0.55277471,0.15875597,0.36787395,0.19374080,0.29644678,0.33836880,0.18237517,0.17837614,0.75520254,0.54869220,0.39514168,-1,1,-1,-1
