time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
70,0.57585734,0.24427647,0.46827173,0.55242762,0.34575133,0.43956044,0.28,0.11764706,0.37194847,0.33590217,0.38594798,0.32749687,0.46922167,0.36327649,0.37843701,0.40534761,0.53511183,0.50518348,0.47756597,0.44299077,0.61953276,0.55802039,0.54831082,0.45067285,0.52441293,0.48169879,0.49711482,0.273009,-1,1,-1,-1,0.8024952776514178,"[0.54, 0.63)","[0.20, 0.30)","[0.40, 0.50)","[0.50, 0.60)","[0.33, 0.41)","[0.40, 0.47)","[0.20, 0.30)","[0.10, 0.20)","[0.80, 0.92)"
77,0.66328813,0.29207229,0.56277565,0.61598774,0.45198423,0.46153846,0.28,0.15686275,0.35776567,0.32418073,0.34981144,0.29529379,0.44501893,0.35029827,0.3444225,0.39246119,0.51737278,0.49480796,0.47058865,0.44813326,0.60709609,0.5666069,0.54313695,0.45148193,0.51938904,0.50434634,0.49047437,0.28419733,-1,1,-1,-1,0.9489188965511873,"[0.63, 0.72)","[0.20, 0.30)","[0.50, 0.60)","[0.60, 0.70)","[0.41, 0.49)","[0.40, 0.47)","[0.20, 0.30)","[0.10, 0.20)","[0.92, 1.04)"
84,0.834184,0.33416208,0.76427996,0.63409085,0.81633582,0.49450549,0.24,0.15686275,0.3233416,0.2869158,0.28836476,0.23211872,0.38456453,0.2993014,0.2707453,0.33778888,0.49320985,0.47448602,0.45717787,0.43562987,0.58699299,0.55991974,0.52144377,0.45175888,0.51772806,0.52108385,0.4601437,0.28072753,-1,1,-1,-1,1.2855346103183674,"[0.81, 0.90)","[0.30, 0.40)","[0.70, 0.80)","[0.60, 0.70)","[0.73, 0.82)","[0.47, 0.53)","[0.20, 0.30)","[0.10, 0.20)","[1.16, 1.29)"
91,0.7895302,0.57983999,0.66568077,0.61659338,0.79947795,0.53296703,0.26,0.1372549,0.3028748,0.2587621,0.24359488,0.19090184,0.34593179,0.26343126,0.22363927,0.30083691,0.46913685,0.45853624,0.44805681,0.42470663,0.57601049,0.5462069,0.50247227,0.45513396,0.52608943,0.52879931,0.42616577,0.2794215,-1,1,-1,-1,1.2093317478441636,"[0.72, 0.81)","[0.50, 0.60)","[0.60, 0.70)","[0.60, 0.70)","[0.73, 0.82)","[0.53, 0.60)","[0.20, 0.30)","[0.10, 0.20)","[1.16, 1.29)"
98,0.73371424,0.56116688,0.56416938,0.58387476,0.73540313,0.58241758,0.26,0.11764706,0.28540211,0.21748144,0.1980425,0.14685402,0.30798326,0.22594875,0.17760605,0.26131696,0.45131684,0.44283058,0.44351341,0.41672128,0.56985331,0.53928921,0.49052891,0.45864256,0.53951917,0.52373861,0.39425166,0.26817017,-1,1,-1,-1,1.095451773611435,"[0.72, 0.81)","[0.50, 0.60)","[0.50, 0.60)","[0.50, 0.60)","[0.73, 0.82)","[0.53, 0.60)","[0.20, 0.30)","[0.10, 0.20)","[1.04, 1.16)"
105,0.71152505,0.50895367,0.54101549,0.5798877,0.69074349,0.64285714,0.26,0.15686275,0.27114766,0.20527402,0.17626299,0.13322316,0.27677946,0.21919961,0.16354874,0.26074802,0.43505845,0.42912653,0.44743971,0.42115803,0.5695744,0.54611186,0.49189347,0.46625813,0.55817997,0.50550607,0.36530407,0.24938513,-1,1,-1,-1,1.0517100712689835,"[0.63, 0.72)","[0.50, 0.60)","[0.50, 0.60)","[0.50, 0.60)","[0.65, 0.73)","[0.60, 0.66)","[0.20, 0.30)","[0.10, 0.20)","[1.04, 1.16)"
112,0.61209935,0.44748708,0.58348618,0.47935926,0.54372282,0.66483516,0.24,0.1372549,0.27687261,0.22400703,0.19518565,0.15931883,0.27324552,0.22619662,0.18577996,0.27771373,0.4270031,0.44303988,0.44895313,0.41023274,0.574238,0.53403572,0.48294256,0.4748286,0.59016389,0.48060917,0.36832494,0.26059244,-1,1,-1,-1,0.9305245442155152,"[0.54, 0.63)","[0.40, 0.50)","[0.50, 0.60)","[0.40, 0.50)","[0.49, 0.57)","[0.66, 0.73)","[0.20, 0.30)","[0.10, 0.20)","[0.92, 1.04)"
119,0.46649056,0.36188492,0.47751473,0.33778663,0.41355218,0.63736264,0.3,0.1372549,0.26429884,0.21235925,0.1676189,0.13339455,0.24669931,0.21808245,0.16499631,0.26801368,0.41402552,0.44305645,0.44468015,0.41293081,0.57480073,0.53855027,0.48381519,0.4712525,0.58397852,0.46603473,0.34540394,0.23786653,-1,1,-1,-1,0.7163417692390149,"[0.45, 0.54)","[0.30, 0.40)","[0.40, 0.50)","[0.30, 0.40)","[0.41, 0.49)","[0.60, 0.66)","[0.20, 0.30)","[0.10, 0.20)","[0.67, 0.80)"
126,0.20542682,0.08078291,0.30059969,0.20150383,0.04977327,0.62087912,0.3,0.21568627,0.26370122,0.20547071,0.17057483,0.13654447,0.23186027,0.21545809,0.17199601,0.27196272,0.42353307,0.45131676,0.44061398,0.41301829,0.57682458,0.54071555,0.48123846,0.4753828,0.59345992,0.44366641,0.33464964,0.23170407,-1,1,-1,-1,0.3652962435329138,"[0.18, 0.27)","[0.00, 0.10)","[0.30, 0.40)","[0.20, 0.30)","[0.00, 0.08)","[0.60, 0.66)","[0.20, 0.30)","[0.20, 0.30)","[0.31, 0.43)"
133,0.19481831,0.08024668,0.31215823,0.1831544,0.04456499,0.5989011,0.3,0.21568627,0.27924114,0.20510968,0.18469295,0.15112182,0.25026369,0.2308201,0.20175847,0.30038963,0.44376993,0.46269362,0.43350951,0.40440605,0.57375474,0.526125,0.46911107,0.47520611,0.60112171,0.42484096,0.34052444,0.22936354,-1,1,-1,-1,0.3646564590539882,"[0.18, 0.27)","[0.00, 0.10)","[0.30, 0.40)","[0.10, 0.20)","[0.00, 0.08)","[0.60, 0.66)","[0.20, 0.30)","[0.20, 0.30)","[0.31, 0.43)"
