time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
0,0.44339455,0.39854945,0.40472493,0.3905098,0.29029629,0.52887538,0.09433962,0.06666667,0.42818539,0.37805637,0.51156447,0.54850261,0.50096974,0.45814798,0.38026387,0.61696054,0.52287081,0.44201283,0.72985631,0.43843607,0.58788432,0.36382119,0.70539966,0.37065478,0.4090522,0.64538279,0.30301365,0.35265001,-1,-1,-1,1,0.6329076621809133,"[0.43, 0.52)","[0.33, 0.41)","[0.40, 0.50)","[0.35, 0.42)","[0.20, 0.30)","[0.45, 0.53)","[0.00, 0.10)","[0.00, 0.10)","[0.53, 0.65)"
7,0.32691301,0.33537501,0.26788184,0.28277125,0.25996919,0.556231,0.22641509,0.2,0.38066765,0.34071202,0.44431644,0.48862097,0.45004041,0.41688727,0.33069761,0.56337111,0.49590038,0.41819358,0.68626328,0.4166115,0.5491682,0.34690567,0.66572862,0.3578641,0.38730556,0.66002698,0.27831528,0.32774417,-1,-1,-1,1,0.46829930576246237,"[0.26, 0.35)","[0.33, 0.41)","[0.20, 0.30)","[0.28, 0.35)","[0.20, 0.30)","[0.53, 0.61)","[0.20, 0.30)","[0.10, 0.20)","[0.41, 0.53)"
14,0.27645878,0.28437911,0.21785922,0.23297824,0.24978793,0.6231003,0.43396226,0.26666667,0.33697789,0.30860491,0.39712048,0.44339982,0.40950751,0.38587263,0.28805825,0.52860188,0.47495956,0.39352907,0.66619107,0.3876142,0.52211667,0.32339064,0.62559471,0.35884172,0.37323652,0.66701312,0.2581795,0.30105648,-1,-1,-1,1,0.40513640915892873,"[0.26, 0.35)","[0.25, 0.33)","[0.20, 0.30)","[0.21, 0.28)","[0.20, 0.30)","[0.61, 0.69)","[0.40, 0.50)","[0.20, 0.30)","[0.28, 0.41)"
21,0.37474563,0.29538766,0.24379767,0.27734436,0.42082301,0.6899696,0.45283019,0.51111111,0.30974125,0.28257883,0.36640307,0.41630824,0.39158091,0.355823,0.26212187,0.4952605,0.45939935,0.37104782,0.65964669,0.37851402,0.5089727,0.31602769,0.61201006,0.35577705,0.37318753,0.66925117,0.24881831,0.29321379,-1,-1,-1,1,0.5598653442272513,"[0.35, 0.43)","[0.25, 0.33)","[0.20, 0.30)","[0.21, 0.28)","[0.40, 0.50)","[0.69, 0.77)","[0.40, 0.50)","[0.50, 0.60)","[0.53, 0.65)"
28,0.36335076,0.35666129,0.23866951,0.27942575,0.3745586,0.73556231,0.58490566,0.62222222,0.30067241,0.27043402,0.35528057,0.40394622,0.39229981,0.3472253,0.24752171,0.48082388,0.46013541,0.36736122,0.64123785,0.36157986,0.48578531,0.30398899,0.58524638,0.35326846,0.39926478,0.65742695,0.24468623,0.29381811,-1,-1,-1,1,0.5247247179242299,"[0.35, 0.43)","[0.33, 0.41)","[0.20, 0.30)","[0.21, 0.28)","[0.30, 0.40)","[0.69, 0.77)","[0.50, 0.60)","[0.60, 0.70)","[0.41, 0.53)"
35,0.32590723,0.32162071,0.29904538,0.23129985,0.29302249,0.74772036,0.77358491,0.68888889,0.30112808,0.25372813,0.35243027,0.40449433,0.40005747,0.33983827,0.24303098,0.49154039,0.47563189,0.37655983,0.64053518,0.3529468,0.49292021,0.29918756,0.58740233,0.3416583,0.42108789,0.65985586,0.23083501,0.30017162,-1,-1,-1,1,0.47831991340019187,"[0.26, 0.35)","[0.25, 0.33)","[0.20, 0.30)","[0.21, 0.28)","[0.20, 0.30)","[0.69, 0.77)","[0.70, 0.80)","[0.60, 0.70)","[0.41, 0.53)"
42,0.34401831,0.25205122,0.35148424,0.2274221,0.33109106,0.74468085,0.8490566,0.66666667,0.29475763,0.26332762,0.37148876,0.4222037,0.40538741,0.37310723,0.26449878,0.50665018,0.47870154,0.37550177,0.63053132,0.35610778,0.49078858,0.30740082,0.5961754,0.33008235,0.42293876,0.66114124,0.24028681,0.30067573,-1,-1,-1,1,0.5337445761304851,"[0.26, 0.35)","[0.25, 0.33)","[0.30, 0.40)","[0.21, 0.28)","[0.30, 0.40)","[0.69, 0.77)","[0.80, 0.90)","[0.60, 0.70)","[0.53, 0.65)"
49,0.28364606,0.20070932,0.2383585,0.17377928,0.35401967,0.73556231,0.69811321,0.71111111,0.28953705,0.26821449,0.36069458,0.39914964,0.39028428,0.38600163,0.25280196,0.5213391,0.48120891,0.37728593,0.62354639,0.35331056,0.48518789,0.31067515,0.59361849,0.32865061,0.42970506,0.67104774,0.24951322,0.31769438,-1,-1,-1,1,0.46080792031656453,"[0.26, 0.35)","[0.17, 0.25)","[0.20, 0.30)","[0.14, 0.21)","[0.30, 0.40)","[0.69, 0.77)","[0.60, 0.70)","[0.70, 0.80)","[0.41, 0.53)"
56,0.27458389,0.12481387,0.22199955,0.15201036,0.37864779,0.70212766,0.47169811,0.46666667,0.33798102,0.29399796,0.41082084,0.44310732,0.43147011,0.42286622,0.29544141,0.55571903,0.51700143,0.4049213,0.64584882,0.37603139,0.49945045,0.33481927,0.62243791,0.34424847,0.44528885,0.65262122,0.26553707,0.34218797,-1,-1,-1,1,0.46450521915196624,"[0.26, 0.35)","[0.08, 0.17)","[0.20, 0.30)","[0.14, 0.21)","[0.30, 0.40)","[0.69, 0.77)","[0.40, 0.50)","[0.40, 0.50)","[0.41, 0.53)"
63,0.20200253,0.05368456,0.18606617,0.12803096,0.2505878,0.63221884,0.45283019,0.33333333,0.37714315,0.32393518,0.46274737,0.48426362,0.46194942,0.45711865,0.33336958,0.59146151,0.55683719,0.43192272,0.66509218,0.3969733,0.5151066,0.35435397,0.64857971,0.3563219,0.45824142,0.6478973,0.27838072,0.35247288,-1,-1,-1,1,0.3373526224084089,"[0.17, 0.26)","[0.00, 0.08)","[0.10, 0.20)","[0.07, 0.14)","[0.20, 0.30)","[0.61, 0.69)","[0.40, 0.50)","[0.30, 0.40)","[0.28, 0.41)"
